name,confHigh,confLow,estimate,gender,t_es
"Korea, Rep.",0.0019,-0.0298,-0.014,male,-5
"Korea, Rep.",0.0526,-0.0032,0.0247,female,-5
"Korea, Rep.",0.012,-0.0149,-0.0015,male,-4
"Korea, Rep.",0.0283,-0.0258,0.0013,female,-4
"Korea, Rep.",0.0076,-0.0182,-0.0053,male,-3
"Korea, Rep.",0.0328,-0.0186,0.0071,female,-3
"Korea, Rep.",0,0,0,male,-2
"Korea, Rep.",0,0,0,female,-2
"Korea, Rep.",0.0165,-0.005,0.0057,male,-1
"Korea, Rep.",0.0079,-0.0429,-0.0175,female,-1
"Korea, Rep.",0.0675,0.0358,0.0516,male,0
"Korea, Rep.",-0.5772,-0.669,-0.6231,female,0
"Korea, Rep.",0.0673,0.0384,0.0529,male,1
"Korea, Rep.",-0.5279,-0.618,-0.5729,female,1
"Korea, Rep.",0.0695,0.0425,0.056,male,2
"Korea, Rep.",-0.5384,-0.625,-0.5817,female,2
"Korea, Rep.",0.0694,0.0433,0.0563,male,3
"Korea, Rep.",-0.4398,-0.5303,-0.485,female,3
"Korea, Rep.",0.0539,0.0228,0.0384,male,4
"Korea, Rep.",-0.4385,-0.5294,-0.4839,female,4
"Korea, Rep.",0.065,0.0357,0.0504,male,5
"Korea, Rep.",-0.3672,-0.4617,-0.4145,female,5
"Korea, Rep.",0.0701,0.0419,0.056,male,6
"Korea, Rep.",-0.3306,-0.4258,-0.3782,female,6
"Korea, Rep.",0.0548,0.0207,0.0378,male,7
"Korea, Rep.",-0.3344,-0.4298,-0.3821,female,7
"Korea, Rep.",0.0654,0.0344,0.0499,male,8
"Korea, Rep.",-0.2766,-0.3717,-0.3241,female,8
"Korea, Rep.",0.0766,0.0469,0.0617,male,9
"Korea, Rep.",-0.1988,-0.2962,-0.2475,female,9
"Korea, Rep.",0.0739,0.043,0.0584,male,10
"Korea, Rep.",-0.1802,-0.2764,-0.2283,female,10
Sweden,0.0111,0.0111,0.0111,male,-5
Sweden,0.0319,0.0319,0.0319,female,-5
Sweden,0.0063,0.0063,0.0063,male,-4
Sweden,0.0218,0.0218,0.0218,female,-4
Sweden,0.0035,0.0035,0.0035,male,-3
Sweden,0.011,0.011,0.011,female,-3
Sweden,0,0,0,male,-2
Sweden,0,0,0,female,-2
Sweden,-0.004,-0.004,-0.004,male,-1
Sweden,-0.0235,-0.0235,-0.0235,female,-1
Sweden,-0.007,-0.007,-0.007,male,0
Sweden,-0.101,-0.101,-0.101,female,0
Sweden,-0.0092,-0.0092,-0.0092,male,1
Sweden,-0.1602,-0.1602,-0.1602,female,1
Sweden,-0.0101,-0.0101,-0.0101,male,2
Sweden,-0.1166,-0.1166,-0.1166,female,2
Sweden,-0.0118,-0.0118,-0.0118,male,3
Sweden,-0.1205,-0.1205,-0.1205,female,3
Sweden,-0.0131,-0.0131,-0.0131,male,4
Sweden,-0.1136,-0.1136,-0.1136,female,4
Sweden,-0.014,-0.014,-0.014,male,5
Sweden,-0.1082,-0.1082,-0.1082,female,5
Sweden,-0.0154,-0.0154,-0.0154,male,6
Sweden,-0.1062,-0.1062,-0.1062,female,6
Sweden,-0.0157,-0.0157,-0.0157,male,7
Sweden,-0.1054,-0.1054,-0.1054,female,7
Sweden,-0.0154,-0.0154,-0.0154,male,8
Sweden,-0.104,-0.104,-0.104,female,8
Sweden,-0.0154,-0.0154,-0.0154,male,9
Sweden,-0.1037,-0.1037,-0.1037,female,9
Sweden,-0.014,-0.014,-0.014,male,10
Sweden,-0.1032,-0.1032,-0.1032,female,10
United States,0.0138,0.005,0.0094,male,-5
United States,0.0271,0.0123,0.0197,female,-5
United States,0.0062,-0.0005,0.0029,male,-4
United States,0.0204,0.0099,0.0152,female,-4
United States,0.0063,0.0004,0.0034,male,-3
United States,0.0139,0.0026,0.0083,female,-3
United States,0,0,0,male,-2
United States,0,0,0,female,-2
United States,0.0068,-0.0006,0.0031,male,-1
United States,-0.0012,-0.0149,-0.0081,female,-1
United States,0.0273,0.0151,0.0212,male,0
United States,-0.2041,-0.2486,-0.2264,female,0
United States,0.025,0.0116,0.0183,male,1
United States,-0.1988,-0.2325,-0.2157,female,1
United States,0.027,0.0118,0.0194,male,2
United States,-0.2097,-0.247,-0.2284,female,2
United States,0.0288,0.0136,0.0212,male,3
United States,-0.219,-0.2553,-0.2371,female,3
United States,0.0311,0.0125,0.0218,male,4
United States,-0.2273,-0.2587,-0.243,female,4
United States,0.0275,0.0114,0.0194,male,5
United States,-0.227,-0.2593,-0.2431,female,5
United States,0.0276,0.0092,0.0184,male,6
United States,-0.2197,-0.2547,-0.2372,female,6
United States,0.0292,0.0125,0.0209,male,7
United States,-0.219,-0.2541,-0.2366,female,7
United States,0.0274,0.0078,0.0176,male,8
United States,-0.213,-0.243,-0.228,female,8
United States,0.0274,0.0105,0.0189,male,9
United States,-0.2018,-0.2318,-0.2168,female,9
United States,0.0296,0.012,0.0208,male,10
United States,-0.1924,-0.2232,-0.2078,female,10
