Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates
South Korea,KOR,1950,541789,10749040,8466237,541789,10749040,8466237
South Korea,KOR,1951,539249,10828923,8500574,539249,10828923,8500574
South Korea,KOR,1952,554271,11098721,8576649,554271,11098721,8576649
South Korea,KOR,1953,581035,11507965,8686087,581035,11507965,8686087
South Korea,KOR,1954,612755,11962032,8840560,612755,11962032,8840560
South Korea,KOR,1955,646997,12429902,9047987,646997,12429902,9047987
South Korea,KOR,1956,681992,12896822,9295420,681992,12896822,9295420
South Korea,KOR,1957,716948,13360042,9583613,716948,13360042,9583613
South Korea,KOR,1958,750739,13787983,9935033,750739,13787983,9935033
South Korea,KOR,1959,783859,14163583,10350627,783859,14163583,10350627
South Korea,KOR,1960,817250,14509951,10788054,817250,14509951,10788054
South Korea,KOR,1961,850712,14790282,11211857,850712,14790282,11211857
South Korea,KOR,1962,884281,15001490,11623385,884281,15001490,11623385
South Korea,KOR,1963,914468,15202845,12028169,914468,15202845,12028169
South Korea,KOR,1964,937441,15413476,12394005,937441,15413476,12394005
South Korea,KOR,1965,957779,15632690,12693816,957779,15632690,12693816
South Korea,KOR,1966,977100,15899679,12969104,977100,15899679,12969104
South Korea,KOR,1967,1003158,16277371,13215142,1003158,16277371,13215142
South Korea,KOR,1968,1032663,16716631,13425953,1032663,16716631,13425953
South Korea,KOR,1969,1058456,17190820,13603441,1058456,17190820,13603441
South Korea,KOR,1970,1093082,17733694,13715378,1093082,17733694,13715378
South Korea,KOR,1971,1137568,18291475,13810766,1137568,18291475,13810766
South Korea,KOR,1972,1181623,18847741,13907055,1181623,18847741,13907055
South Korea,KOR,1973,1222380,19450723,13952682,1222380,19450723,13952682
