Entity,Code,Year,Share of women aged 15-49 who are married or in union (Projection),Share of women aged 15-49 who are married or in union (Estimate)
China,CHN,1970,,66.21092
China,CHN,1971,,65.92859
China,CHN,1972,,65.842636
China,CHN,1973,,66.00261
China,CHN,1974,,66.68113
China,CHN,1975,,67.81703
China,CHN,1976,,69.077675
China,CHN,1977,,69.861786
China,CHN,1978,,69.56304
China,CHN,1979,,68.772705
China,CHN,1980,,68.082695
China,CHN,1981,,67.381615
China,CHN,1982,,67.24941
China,CHN,1983,,67.306305
China,CHN,1984,,67.04499
China,CHN,1985,,66.53054
China,CHN,1986,,66.00341
China,CHN,1987,,65.8108
China,CHN,1988,,66.2608
China,CHN,1989,,66.97744
China,CHN,1990,,67.72919
China,CHN,1991,,68.51955
China,CHN,1992,,69.29352
China,CHN,1993,,70.22419
China,CHN,1994,,71.12167
China,CHN,1995,,71.78123
China,CHN,1996,,72.22542
China,CHN,1997,,72.37862
China,CHN,1998,,72.492256
China,CHN,1999,,72.63301
China,CHN,2000,,72.55452
China,CHN,2001,,72.26095
China,CHN,2002,,71.77233
China,CHN,2003,,71.19104
China,CHN,2004,,70.62426
China,CHN,2005,,70.046295
China,CHN,2006,,69.75063
China,CHN,2007,,69.83872
China,CHN,2008,,69.99084
China,CHN,2009,,70.24295
China,CHN,2010,,70.69163
China,CHN,2011,,70.9412
China,CHN,2012,,71.11779
China,CHN,2013,,71.08862
China,CHN,2014,,71.00753
China,CHN,2015,,71.020294
China,CHN,2016,,70.95873
China,CHN,2017,,70.8254
China,CHN,2018,,70.60711
China,CHN,2019,,70.28866
China,CHN,2020,,69.96434
China,CHN,2021,,69.53815
China,CHN,2022,68.96837,
France,FRA,1970,,67.361115
France,FRA,1971,,66.96984
France,FRA,1972,,66.69289
France,FRA,1973,,66.43741
France,FRA,1974,,66.16053
France,FRA,1975,,65.89846
France,FRA,1976,,65.6488
France,FRA,1977,,65.41582
France,FRA,1978,,65.17168
France,FRA,1979,,64.904366
France,FRA,1980,,64.66208
France,FRA,1981,,64.4435
France,FRA,1982,,64.24607
France,FRA,1983,,64.07907
France,FRA,1984,,63.9408
