Year,Population_65plus,Population_15_64,Population_under15
1950,714561,4666798,1635103
1951,728779,4681507,1662501
1952,744858,4695211,1684505
1953,761583,4707012,1702721
1954,776959,4721981,1714413
1955,792727,4744326,1725165
1956,810093,4768378,1736943
1957,826335,4800163,1740278
1958,842877,4841391,1729964
1959,861355,4884474,1707603
1960,879305,4926435,1678727
1961,898015,4970746,1651098
1962,917270,5015307,1628807
1963,936853,5054133,1613083
1964,957666,5093267,1610116
1965,979438,5133796,1619621
1966,1002825,5167925,1634671
1967,1027965,5189234,1649037
1968,1051613,5203724,1656612
1969,1073835,5229438,1664567
1970,1099327,5266849,1676419
1971,1127024,5286573,1684310
1972,1154205,5280420,1687591
1973,1181647,5267062,1688210
1974,1210418,5259485,1690493
1975,1237803,5259322,1695271
1976,1262147,5263739,1696216
1977,1286959,5273207,1691236
1978,1311893,5286017,1677553
1979,1334307,5304582,1654506
1980,1353379,5328347,1628356
1981,1369508,5349883,1600679
1982,1385933,5367681,1571159
1983,1402019,5381343,1545129
1984,1416744,5391735,1527536
1985,1438732,5394428,1516568
1986,1464944,5396337,1507859
1987,1484348,5410527,1502202
1988,1498022,5433362,1504393
1989,1510289,5466957,1514973
1990,1521018,5501894,1535028
1991,1527911,5525733,1562663
1992,1531988,5543363,1591552
1993,1534129,5562470,1620748
1994,1536854,5593529,1649097
1995,1540341,5621184,1664013
1996,1541853,5634275,1663394
1997,1541459,5645268,1657943
1998,1538775,5659484,1651456
1999,1534002,5678676,1644082
2000,1530744,5705127,1635252
2001,1530498,5738939,1625540
2002,1531928,5775904,1616104
2003,1536599,5815227,1605463
2004,1546878,5854425,1591295
2005,1558784,5897519,1572187
2006,1572199,5951910,1555186
2007,1593703,6007500,1545661
2008,1625543,6050821,1542072
2009,1666616,6084662,1545921
2010,1712510,6106915,1557203
2011,1759339,6113633,1574614
2012,1804867,6114824,1598057
2013,1848711,6121143,1628983
2014,1891019,6139491,1664067
2015,1928445,6169536,1699591
2016,1960280,6221964,1739072
2017,1989647,6288346,1777845
2018,2019035,6347073,1807212
2019,2048596,6401060,1827278
2020,2074612,6440389,1836311
2021,2101168,6473925,1838452
2022,2130663,6519878,1834104
2023,2164175,6564462,1820106
