Year,Population_65plus,Population_15_64,Population_under15
1950,5425230,33440111,11255320
1951,5492553,33492196,11361697
1952,5563470,33479146,11453207
1953,5644979,33529202,11552410
1954,5716958,33587955,11652851
1955,5779813,33635726,11760691
1956,5843876,33667128,11888901
1957,5920238,33725745,12009345
1958,5997646,33837610,12099772
1959,6068198,33981457,12176163
1960,6143973,34126879,12266997
1961,6218097,34330096,12336028
1962,6287626,34610660,12373784
1963,6383848,34826415,12441882
1964,6510810,34936983,12560494
1965,6640975,35005077,12712045
1966,6764668,35042373,12868301
1967,6894753,35049570,13028276
1968,7028190,35030642,13180674
1969,7156904,34995813,13302267
1970,7294243,34980141,13388115
1971,7438027,35007617,13443328
1972,7570778,35048477,13458461
1973,7693649,35084565,13408955
1974,7816877,35123174,13282774
1975,7933052,35192684,13092570
1976,8034799,35313420,12851000
1977,8136312,35463404,12574085
1978,8245842,35630296,12297255
1979,8349722,35825873,12040897
1980,8436674,36037311,11805720
1981,8483755,36239986,11578284
1982,8476478,36459320,11354242
1983,8431144,36734676,11163390
1984,8438835,36994480,11014978
1985,8552697,37148811,10901664
1986,8686662,37243198,10818566
1987,8788713,37334169,10759420
1988,8920998,37302104,10799524
1989,9037778,37242153,10898138
1990,9101402,37278207,10983999
1991,9161517,37291726,11097444
1992,9209649,37291814,11213037
1993,9239161,37317349,11299564
1994,9264917,37391928,11341172
1995,9295913,37517446,11335827
1996,9318437,37655769,11318687
1997,9332789,37801836,11306542
1998,9342339,37983413,11294897
1999,9351673,38212682,11267878
2000,9377297,38490986,11182243
2001,9424978,38780192,11075649
2002,9478017,39044011,11011006
2003,9529766,39263196,11019364
2004,9595204,39529363,11036994
2005,9661042,39911109,11015139
2006,9716900,40324121,11000779
2007,9804285,40710100,11011646
2008,9936870,41024752,11055377
2009,10102838,41274372,11118192
2010,10282882,41523173,11189030
2011,10522590,41705182,11269491
2012,10843637,41741526,11362699
2013,11144232,41769275,11462747
2014,11392399,41891154,11568651
2015,11604413,42072984,11690710
2016,11791645,42259734,11828006
2017,11978840,42404429,11957493
2018,12172810,42516271,12050004
2019,12373390,42628781,12094835
2020,12516063,42719833,12100645
2021,12650248,42933501,12068581
2022,12889395,43253225,12019499
2023,13195707,43512506,11957105
