Year,Population_65plus,Population_15_64,Population_under15
1950,12293170,99818897,42086569
1951,12622001,100443329,43412167
1952,12951353,101084426,44754605
1953,13282240,101735304,46146807
1954,13623714,102382361,47626099
1955,13975253,103045479,49175004
1956,14316235,103793945,50710147
1957,14662443,104702960,52129033
1958,15018733,105734888,53457305
1959,15436430,106851746,54853671
1960,15917005,107990580,56363140
1961,16385653,109475109,57624606
1962,16820022,111471343,58428294
1963,17218892,113544190,59057011
1964,17622420,115545341,59646074
1965,18107198,117466683,60073775
1966,18569348,119438032,60251382
1967,18956059,121549819,60186775
1968,19341712,123727001,59934353
1969,19733105,125952776,59605465
1970,20185250,128273546,59327975
1971,20634519,130820574,58960802
1972,21055350,133521804,58253947
1973,21499886,136224063,57270177
1974,21971320,138885139,56206594
1975,22492736,141481602,55140242
1976,23038118,144042497,54072161
1977,23607658,146491908,53142881
1978,24204897,148775609,52397710
1979,24824324,150922678,51809108
1980,25439669,152912288,51486545
1981,26002044,154747350,51430731
1982,26556155,156447231,51556402
1983,27132104,158071785,51757169
1984,27718479,159693845,51914341
1985,28296703,161379322,51985078
1986,28884859,162955862,52082001
1987,29482635,164225005,52421083
1988,30044501,165283285,53031817
1989,30592663,166258063,53789798
1990,31141853,167532327,54663229
1991,31641534,169115981,55676227
1992,32117308,170795965,56653298
1993,32542662,172603008,57446754
1994,32896903,174488518,58047635
1995,33229203,176487019,58446843
1996,33511743,178579170,58726559
1997,33741589,180753599,58929460
1998,33923149,183023672,59128839
1999,34082069,185307058,59352633
2000,34257251,187611245,59571717
2001,34470229,189977575,59787579
2002,34730876,192348243,59960772
2003,35042943,194732685,60087475
2004,35413332,197165194,60161686
2005,35825055,199679441,60164611
2006,36348255,202113362,60219534
2007,37106481,204261262,60425578
2008,38027864,206174208,60715481
2009,38974976,207986246,61007231
2010,39897671,209828599,61278883
2011,40982707,211502535,61560515
2012,42359013,212838308,61857732
2013,43798317,214120752,62130982
2014,45204360,215468592,62381758
2015,46609078,216867839,62589189
2016,48048765,218305311,62765393
2017,49568905,219660103,62916057
2018,51175354,220876059,62945277
2019,52880906,221991136,62857453
2020,54493350,222450240,62432003
2021,55975412,222397910,61726085
2022,57721846,222675232,61072516
2023,59807701,223169366,60433586
