name,total_volume,pressurised_volume,habitable_volume,crew,is_real,has_gravity,volume_per_astronaut,category,size
Salyut-1,214,99,90,3,TRUE,FALSE,30,Real Stations,111.85986112076117
Haven-1,80,80,45,4,FALSE,FALSE,11.25,Planned 0-g Stations,91.3483193756133
Haven-2,1160,1160,500,12,FALSE,FALSE,41.666666666666664,Planned 0-g Stations,147.0939834828921
Skylab,499,351.6,270,3,TRUE,FALSE,90,Real Stations,129.5088261899227
Tiangong,726.6,340,121,3,TRUE,FALSE,40.333333333333336,Real Stations,137.3421788892814
ISS,1200,1005,388,7,TRUE,FALSE,55.42857142857143,Real Stations,147.80069981028598
Gateway,183,183,125,4,FALSE,FALSE,31.25,Planned 0-g Stations,108.59765230706063
von Braun,6217.85,4800,3600,80,FALSE,TRUE,45,Artificial Gravity Concepts,182.0947315618796
Space Base,5921,3600,3600,100,FALSE,TRUE,36,Artificial Gravity Concepts,181.07496293193603
Hexagonal Station,1274.3,980,980,36,FALSE,TRUE,27.22222222222222,Artificial Gravity Concepts,149.05304078912613
2035 AG Station,2160,2160,950,40,FALSE,TRUE,23.75,Artificial Gravity Concepts,160.0537800552447
Stanford Torus,69220470,69220470,34610235,10000,FALSE,TRUE,3461.0235,Megastructure,376.33125810162187
O'Neill Cylinder,1636828970203,1604092390799,1227621727652,1000000,FALSE,TRUE,1227621.727652,Megastructure,586.2721585442594
O'Neill Cylinder (pair),3273657940405,3208184781597,2455243455304,2000000,FALSE,TRUE,1227621.727652,Megastructure,600.7215983361241
